score,model,setup,experiment,pattern,task_id,prediction,ground_truth
3,gpt-4.1,A,E2,P1,exp2-P1-E5,"In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. The GenAI boom caused by modern chatbots such as ChatGPT has clearly increased research interest in LLMs.","Reference E.text: Primary excerpt: In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. Turning-point excerpt: Although patent publications in GANs dominated up to 2020, it has slowed down since and patent publications in diffusion models have grown tremendously since 2021. Note: P1-E1 and P1-E5 are entity-specific projections of the same turning-point source passage."
4,gpt-4.1,A,E2,P1,exp2-P1-E5,"In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. The GenAI boom caused by modern chatbots such as ChatGPT has clearly increased research interest in LLMs.","Reference E.text: Primary excerpt: In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. Turning-point excerpt: Although patent publications in GANs dominated up to 2020, it has slowed down since and patent publications in diffusion models have grown tremendously since 2021. Note: P1-E1 and P1-E5 are entity-specific projections of the same turning-point source passage."
4,gpt-4.1,A,E2,P1,exp2-P1-E2,"While the growth of GenAI patent families in the Republic of Korea has been very dynamic across all modes in recent years, Japan's GenAI patent families peaked in 2020/2021 and have been declining since then.","Reference E.text: In both Japan and the Republic of Korea, speech/voice/music is a very important GenAI mode in terms of patent families. However, patent growth rates differ significantly between the two Asian countries. While the growth of GenAI patent families in the Republic of Korea has been very dynamic across all modes in recent years, Japan's GenAI patent families peaked in 2020/2021 and have been declining since then."
4,gpt-4.1,A,E2,P1,exp2-P1-E5,"In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. The GenAI boom caused by modern chatbots such as ChatGPT has clearly increased research interest in LLMs.","Reference E.text: Primary excerpt: In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. Turning-point excerpt: Although patent publications in GANs dominated up to 2020, it has slowed down since and patent publications in diffusion models have grown tremendously since 2021. Note: P1-E1 and P1-E5 are entity-specific projections of the same turning-point source passage."
4,gpt-4.1,A,E2,P1,exp2-P1-E1,"Among the core models of GenAI, many patent families belong to the category of generative adversarial networks (GANs). Between 2014 and 2023, there were almost 9,700 publications of patent families in this model type with almost 2,400 patent families published in 2023 alone.","Reference E.text: Although patent publications in GANs dominated up to 2020, it has slowed down since and patent publications in diffusion models have grown tremendously since 2021."
5,gpt-4.1,A,E2,P1,exp2-P1-E2,"While the growth of GenAI patent families in the Republic of Korea has been very dynamic across all modes in recent years, Japan's GenAI patent families peaked in 2020/2021 and have been declining since then.","Reference E.text: In both Japan and the Republic of Korea, speech/voice/music is a very important GenAI mode in terms of patent families. However, patent growth rates differ significantly between the two Asian countries. While the growth of GenAI patent families in the Republic of Korea has been very dynamic across all modes in recent years, Japan's GenAI patent families peaked in 2020/2021 and have been declining since then."
4,gpt-4.1,A,E2,P1,exp2-P1-E1,"Among the core models of GenAI, many patent families belong to the category of generative adversarial networks (GANs). Between 2014 and 2023, there were almost 9,700 publications of patent families in this model type with almost 2,400 patent families published in 2023 alone.","Reference E.text: Although patent publications in GANs dominated up to 2020, it has slowed down since and patent publications in diffusion models have grown tremendously since 2021."
4,gpt-4.1,A,E2,P1,exp2-P1-E1,"Among the core models of GenAI, many patent families belong to the category of generative adversarial networks (GANs). Between 2014 and 2023, there were almost 9,700 publications of patent families in this model type with almost 2,400 patent families published in 2023 alone.","Reference E.text: Although patent publications in GANs dominated up to 2020, it has slowed down since and patent publications in diffusion models have grown tremendously since 2021."
4,gpt-4.1,A,E2,P1,exp2-P1-E2,"While the growth of GenAI patent families in the Republic of Korea has been very dynamic across all modes in recent years, Japan's GenAI patent families peaked in 2020/2021 and have been declining since then.","Reference E.text: In both Japan and the Republic of Korea, speech/voice/music is a very important GenAI mode in terms of patent families. However, patent growth rates differ significantly between the two Asian countries. While the growth of GenAI patent families in the Republic of Korea has been very dynamic across all modes in recent years, Japan's GenAI patent families peaked in 2020/2021 and have been declining since then."
5,gpt-4.1,A,E2,P1,exp2-P1-E4,"Advances in deep learning techniques and increasing computing power have spurred the development of GenAI in recent years. The significant advances in GenAI are reflected in the sharp increase in patent activity in the field. Over the last 10 years, the number of published patent families in GenAI models has increased from less than 800 in 2014 to more than 14,000 in 2023. There has been a big surge in patent activity beginning in 2017, with an average annual growth of around 45% since then. This coincides with the introduction of transformers in 2017. In total, the patent search identified 54,358 patent families published in the field of GenAI between 2014 and 2023. Around 89% of this patent dataset (48,398 patent families) were considered active at the end of 2023.","Reference E.text: The significant advances in GenAI are reflected in the sharp increase in patent activity in the field. Over the last 10 years, the number of published patent families in GenAI models has increased from less than 800 in 2014 to more than 14,000 in 2023. There has been a big surge in patent activity beginning in 2017, with an average annual growth of around 45% since then. This coincides with the introduction of transformers in 2017."
2,gpt-4.1,A,E2,P1,exp2-P1-E3,"Patent families that contain the processing of text and speech/sound/music are the third and fourth largest modes in terms of patent families, with almost 13,500 families each over the same period. So far, there are far fewer patent families in the remaining modes 3D image models, chemical molecules/genes/proteins and code/software (Figure 23). However, similar to patents regarding GenAI models, a large number of patent families (around 14,300 patent family publications between 2014 and 2023) cannot be clearly assigned to any specific data type. In addition, some patent families are assigned to more than one mode as an increasing amount of GenAI models such as MLLMs are overcoming the limitation of only one type of data input and instead can access knowledge from multiple modalities.","Reference E.text: In terms of growth of patent families, image/video- and molecules/genes/proteins- based GenAI patent families increased the most over the last decade (an average annual growth rate of around 45% between 2014 and 2023). Molecules/genes/proteins GenAI patent families have also been the growth leaders in recent years. In contrast, the total number of GenAI patent families based on speech/sound/music data has increased only slightly since 2021 (Figure 24)."
5,gpt-4.1,A,E2,P1,exp2-P1-E4,"Over the last 10 years, the number of published patent families in GenAI models has increased from less than 800 in 2014 to more than 14,000 in 2023. There has been a big surge in patent activity beginning in 2017, with an average annual growth of around 45% since then. This coincides with the introduction of transformers in 2017. In total, the patent search identified 54,358 patent families published in the field of GenAI between 2014 and 2023. Around 89% of this patent dataset (48,398 patent families) were considered active at the end of 2023.","Reference E.text: The significant advances in GenAI are reflected in the sharp increase in patent activity in the field. Over the last 10 years, the number of published patent families in GenAI models has increased from less than 800 in 2014 to more than 14,000 in 2023. There has been a big surge in patent activity beginning in 2017, with an average annual growth of around 45% since then. This coincides with the introduction of transformers in 2017."
2,gpt-4.1,A,E2,P1,exp2-P1-E3,"Patent families that contain the processing of text and speech/sound/music are the third and fourth largest modes in terms of patent families, with almost 13,500 families each over the same period. So far, there are far fewer patent families in the remaining modes 3D image models, chemical molecules/genes/proteins and code/software (Figure 23). However, similar to patents regarding GenAI models, a large number of patent families (around 14,300 patent family publications between 2014 and 2023) cannot be clearly assigned to any specific data type. In addition, some patent families are assigned to more than one mode as an increasing amount of GenAI models such as MLLMs are overcoming the limitation of only one type of data input and instead can access knowledge from multiple modalities.","Reference E.text: In terms of growth of patent families, image/video- and molecules/genes/proteins- based GenAI patent families increased the most over the last decade (an average annual growth rate of around 45% between 2014 and 2023). Molecules/genes/proteins GenAI patent families have also been the growth leaders in recent years. In contrast, the total number of GenAI patent families based on speech/sound/music data has increased only slightly since 2021 (Figure 24)."
2,gpt-4.1,A,E2,P1,exp2-P1-E3,"Among the different GenAI modes, most patent families belong to the image/video category. Between 2014 and 2023, there were almost 18,000 patent families in this mode, with more than 5,100 patent families in 2023 alone. Patent families that contain the processing of text and speech/sound/music are the third and fourth largest modes in terms of patent families, with almost 13,500 families each over the same period. So far, there are far fewer patent families in the remaining modes 3D image models, chemical molecules/genes/proteins and code/software (Figure 23). However, similar to patents regarding GenAI models, a large number of patent families (around 14,300 patent family publications between 2014 and 2023) cannot be clearly assigned to any specific data type. In addition, some patent families are assigned to more than one mode as an increasing amount of GenAI models such as MLLMs are...","Reference E.text: In terms of growth of patent families, image/video- and molecules/genes/proteins- based GenAI patent families increased the most over the last decade (an average annual growth rate of around 45% between 2014 and 2023). Molecules/genes/proteins GenAI patent families have also been the growth leaders in recent years. In contrast, the total number of GenAI patent families based on speech/sound/music data has increased only slightly since 2021 (Figure 24)."
5,gpt-4.1,A,E2,P1,exp2-P1-E4,"Advances in deep learning techniques and increasing computing power have spurred the development of GenAI in recent years. The significant advances in GenAI are reflected in the sharp increase in patent activity in the field. Over the last 10 years, the number of published patent families in GenAI models has increased from less than 800 in 2014 to more than 14,000 in 2023. There has been a big surge in patent activity beginning in 2017, with an average annual growth of around 45% since then. This coincides with the introduction of transformers in 2017. In total, the patent search identified 54,358 patent families published in the field of GenAI between 2014 and 2023. Around 89% of this patent dataset (48,398 patent families) were considered active at the end of 2023.","Reference E.text: The significant advances in GenAI are reflected in the sharp increase in patent activity in the field. Over the last 10 years, the number of published patent families in GenAI models has increased from less than 800 in 2014 to more than 14,000 in 2023. There has been a big surge in patent activity beginning in 2017, with an average annual growth of around 45% since then. This coincides with the introduction of transformers in 2017."
4,gpt-4.1,A,E1,P1,exp1-P1-genAI,"After the introduction of transformer models in 2017, both patent and scientific publications increased greatly, with scientific publications exploding after the 2022 release of ChatGPT.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
5,gpt-4.1,A,E1,P1,exp1-P1-genAI,"In terms of patent growth, patent families assigned to GANs show the strongest increase over the past decade. However, patent growth of GAN patent families has slowed down and GAN patent families have increased only moderately over the last three years. A similar slowdown in patent growth can be seen for patent families for VAE models and autoregressive models. In contrast, diffusion models and LLMs show much higher growth rates over the last three years, with the number of patent families for diffusion models increasing from 18 in 2020 to 441 in 2023 and for LLMs increasing from 53 in 2020 to 881 in 2023. The GenAI boom caused by modern chatbots such as ChatGPT has clearly increased research interest in LLMs.","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
3,gpt-4.1,A,E1,P1,exp1-P1-genAI,"Patent family publications have also risen in 2023, but not as much as scientific publications. It can be expected though that there will be a similar acceleration for patent family publications in 2024 and 2025, as there is generally an 18-month lag between the filing and publication of new patents (WIPO 2021).","Canonical M: Let e be an entity and let m be an attribute defined over time. Let v(e, m, t) denote the value or state of entity e with respect to attribute m at time t. A trajectory shift pattern holds when there exists a time or event τ such that the behavior of v(e, m, t) differs before and after τ. Let g_pre denote the trend of v(e, m, t) before τ, and let g_post denote the trend of v(e, m, t) after τ. A trajectory shift holds when: g_pre ≠ g_post or more strongly, |g_post - g_pre| > ε, where ε is a threshold for meaningful change."
